ticker,entry_ts,entry_price,exit_ts,exit_price,exit_reason,regime,shares
AAOI,2025-04-23 14:09:00+00:00,12.43000030517578,2025-04-23 14:17:00+00:00,12.300000190734863,stop_loss,neutral,162
AAOI,2025-04-23 14:36:00+00:00,12.675999641418455,2025-04-23 14:51:00+00:00,12.470000267028809,stop_loss,neutral,145
ACHR,2025-04-23 14:33:00+00:00,8.149999618530273,2025-04-23 14:57:00+00:00,8.09000015258789,stop_loss,neutral,428
ACHR,2025-04-23 14:54:00+00:00,8.170000076293945,2025-04-23 14:56:00+00:00,8.149999618530273,stop_loss,neutral,599
AEVA,2025-04-23 14:32:00+00:00,7.130000114440918,2025-04-23 14:42:00+00:00,7.079999923706055,stop_loss,neutral,500
AOSL,2025-04-23 14:00:00+00:00,18.22599983215332,2025-04-23 14:20:00+00:00,18.100000381469727,stop_loss,neutral,75
AOSL,2025-04-23 13:54:00+00:00,18.349899291992188,2025-04-23 13:55:00+00:00,18.020000457763672,stop_loss,neutral,93
AOSL,2025-04-23 13:54:00+00:00,18.349899291992188,2025-04-23 13:55:00+00:00,18.020000457763672,stop_loss,neutral,93
ATXS,2025-04-23 14:14:00+00:00,5.21999979019165,2025-04-23 14:31:00+00:00,5.125,stop_loss,neutral,333
BCAX,2025-04-23 14:29:00+00:00,15.414999961853027,2025-04-23 14:30:00+00:00,15.0,stop_loss,neutral,107
BCAX,2025-04-23 14:29:00+00:00,15.414999961853027,2025-04-23 14:30:00+00:00,15.0,stop_loss,neutral,107
BCAX,2025-04-23 15:12:00+00:00,15.960000038146973,2025-04-23 15:33:00+00:00,15.779999732971191,stop_loss,neutral,75
COMM,2025-04-23 16:58:00+00:00,3.809999942779541,2025-04-23 17:00:00+00:00,3.799999952316284,stop_loss,neutral,1500
COMM,2025-04-23 18:20:00+00:00,3.8550000190734863,2025-04-23 19:10:00+00:00,3.799999952316284,stop_loss,neutral,545
COMM,2025-04-23 18:37:00+00:00,3.859999895095825,2025-04-23 18:51:00+00:00,3.8350000381469727,stop_loss,bearish,500
CRSR,2025-04-23 13:37:00+00:00,6.684999942779541,2025-04-23 19:25:00+00:00,6.590000152587891,stop_loss,neutral,285
CRSR,2025-04-23 13:41:00+00:00,6.775000095367432,2025-04-23 14:08:00+00:00,6.71999979019165,stop_loss,neutral,315
CRSR,2025-04-23 13:44:00+00:00,6.788000106811523,2025-04-23 13:55:00+00:00,6.760000228881836,stop_loss,neutral,384
CRSR,2025-04-23 13:57:00+00:00,6.824999809265137,2025-04-23 14:00:00+00:00,6.789999961853027,stop_loss,neutral,371
CRSR,2025-04-23 14:39:00+00:00,6.900000095367432,2025-04-23 14:51:00+00:00,6.835000038146973,stop_loss,neutral,399
