ticker,entry_ts,entry_price,shares,entry_commission,exit_ts,exit_price,exit_commission,pnl,regime
AAOI,2025-04-23 14:09:00+00:00,12.43000030517578,162,1.0,2025-04-23 14:17:00+00:00,12.300000190734863,1.0,-23.06,neutral
AAOI,2025-04-23 14:36:00+00:00,12.675999641418455,145,1.0,2025-04-23 14:51:00+00:00,12.470000267028809,1.0,-31.8699,neutral
ACHR,2025-04-23 14:33:00+00:00,8.149999618530273,428,1.0,2025-04-23 14:57:00+00:00,8.09000015258789,1.0,-27.6798,neutral
ACHR,2025-04-23 14:54:00+00:00,8.170000076293945,599,1.0,2025-04-23 14:56:00+00:00,8.149999618530273,1.0,-13.9803,neutral
AEVA,2025-04-23 14:32:00+00:00,7.130000114440918,500,1.0,2025-04-23 14:42:00+00:00,7.079999923706055,1.0,-27.0001,neutral
AOSL,2025-04-23 14:00:00+00:00,18.22599983215332,75,1.0,2025-04-23 14:20:00+00:00,18.100000381469727,1.0,-11.45,neutral
AOSL,2025-04-23 13:54:00+00:00,18.349899291992188,93,1.0,2025-04-23 13:55:00+00:00,18.020000457763672,1.0,-32.6806,neutral
AOSL,2025-04-23 13:54:00+00:00,18.349899291992188,93,1.0,2025-04-23 13:55:00+00:00,18.020000457763672,1.0,-32.6806,neutral
AOSL,2025-04-23 13:54:00+00:00,18.349899291992188,93,1.0,2025-04-23 13:55:00+00:00,18.020000457763672,1.0,-32.6806,neutral
AOSL,2025-04-23 13:54:00+00:00,18.349899291992188,93,1.0,2025-04-23 13:55:00+00:00,18.020000457763672,1.0,-32.6806,neutral
ATXS,2025-04-23 14:14:00+00:00,5.21999979019165,333,1.0,2025-04-23 14:31:00+00:00,5.125,1.0,-33.6349,neutral
BCAX,2025-04-23 14:29:00+00:00,15.414999961853027,107,1.0,2025-04-23 14:30:00+00:00,15.0,1.0,-46.405,neutral
BCAX,2025-04-23 14:29:00+00:00,15.414999961853027,107,1.0,2025-04-23 14:30:00+00:00,15.0,1.0,-46.405,neutral
BCAX,2025-04-23 14:29:00+00:00,15.414999961853027,107,1.0,2025-04-23 14:30:00+00:00,15.0,1.0,-46.405,neutral
BCAX,2025-04-23 14:29:00+00:00,15.414999961853027,107,1.0,2025-04-23 14:30:00+00:00,15.0,1.0,-46.405,neutral
BCAX,2025-04-23 15:12:00+00:00,15.960000038146973,75,1.0,2025-04-23 15:33:00+00:00,15.779999732971191,1.0,-15.5,neutral
COMM,2025-04-23 16:58:00+00:00,3.809999942779541,1500,1.0,2025-04-23 17:00:00+00:00,3.799999952316284,1.0,-17.0,neutral
COMM,2025-04-23 18:20:00+00:00,3.8550000190734863,545,1.0,2025-04-23 19:10:00+00:00,3.799999952316284,1.0,-31.975,neutral
COMM,2025-04-23 18:37:00+00:00,3.859999895095825,500,1.0,2025-04-23 18:51:00+00:00,3.8350000381469727,1.0,-14.4999,bearish
CRSR,2025-04-23 13:37:00+00:00,6.684999942779541,285,1.0,2025-04-23 19:25:00+00:00,6.590000152587891,1.0,-29.0749,neutral
CRSR,2025-04-23 13:41:00+00:00,6.775000095367432,315,1.0,2025-04-23 14:08:00+00:00,6.71999979019165,1.0,-19.3251,neutral
